2025-04-08 23:55:34 - xu load :20000
2025-04-08 23:55:34 - luong load :0
2025-04-08 23:55:50 - luong : 10
2025-04-08 23:55:50 - luong : 20
2025-04-08 23:55:53 - luong : 30
2025-04-08 23:55:53 - luong : 40
2025-04-08 23:55:53 - luong : 50
2025-04-08 23:55:54 - luong : 60
2025-04-08 23:55:54 - luong : 70
2025-04-08 23:55:55 - luong : 80
2025-04-08 23:56:02 - luong : 90
2025-04-08 23:56:02 - luong : 100
2025-04-08 23:56:02 - luong : 110
2025-04-08 23:56:02 - luong : 120
2025-04-08 23:56:03 - luong : 130
2025-04-08 23:56:03 - luong : 140
2025-04-08 23:56:03 - luong : 150
2025-04-08 23:56:03 - luong : 160
2025-04-08 23:56:03 - luong : 170
2025-04-08 23:56:04 - luong : 180
2025-04-08 23:56:04 - luong : 190
2025-04-08 23:56:04 - luong : 200
2025-04-08 23:56:05 - luong : 210
2025-04-08 23:56:05 - luong : 220
2025-04-08 23:56:05 - luong : 230
2025-04-08 23:56:05 - luong : 240
2025-04-08 23:56:05 - luong : 250
2025-04-08 23:56:06 - luong : 260
2025-04-08 23:56:06 - luong : 270
2025-04-08 23:56:06 - luong : 280
2025-04-08 23:56:07 - luong : 290
2025-04-08 23:56:07 - luong : 300
2025-04-08 23:56:07 - luong : 310
2025-04-08 23:56:07 - luong : 320
2025-04-08 23:56:07 - luong : 330
2025-04-08 23:56:08 - luong : 340
2025-04-08 23:56:21 - luong : 350
2025-04-08 23:56:21 - luong : 360
2025-04-08 23:56:21 - luong : 370
2025-04-08 23:56:22 - luong : 380
2025-04-08 23:56:22 - luong : 390
2025-04-08 23:56:22 - luong : 400
2025-04-08 23:56:22 - luong : 410
2025-04-08 23:56:22 - luong : 420
2025-04-08 23:56:22 - luong : 430
2025-04-08 23:56:23 - luong : 440
2025-04-08 23:56:23 - luong : 450
2025-04-08 23:56:23 - luong : 460
2025-04-08 23:56:23 - luong : 470
2025-04-08 23:56:24 - luong : 480
2025-04-08 23:56:24 - luong : 490
2025-04-08 23:56:24 - luong : 500
2025-04-08 23:56:30 - luong : 510
2025-04-08 23:56:31 - luong : 520
2025-04-08 23:56:31 - luong : 530
2025-04-08 23:56:31 - luong : 540
2025-04-08 23:56:31 - luong : 550
2025-04-08 23:56:32 - luong : 560
2025-04-08 23:56:32 - luong : 570
2025-04-08 23:56:32 - luong : 580
2025-04-08 23:56:32 - luong : 590
2025-04-08 23:56:32 - luong : 600
2025-04-08 23:56:33 - luong : 610
2025-04-08 23:56:37 - luong : 620
2025-04-08 23:56:37 - luong : 630
2025-04-08 23:56:37 - luong : 640
2025-04-08 23:56:37 - luong : 650
2025-04-08 23:56:38 - luong : 660
2025-04-08 23:56:38 - luong : 670
2025-04-08 23:56:38 - luong : 680
2025-04-08 23:56:39 - luong : 690
2025-04-08 23:56:39 - luong : 700
2025-04-08 23:56:39 - luong : 710
2025-04-08 23:56:39 - luong : 720
2025-04-08 23:56:39 - luong : 730
2025-04-08 23:56:40 - luong : 740
2025-04-08 23:56:40 - luong : 750
2025-04-08 23:56:40 - luong : 760
2025-04-08 23:56:40 - luong : 770
2025-04-08 23:56:40 - luong : 780
2025-04-08 23:56:41 - luong : 790
2025-04-08 23:56:41 - luong : 800
2025-04-08 23:56:41 - luong : 810
2025-04-08 23:56:41 - luong : 820
2025-04-08 23:56:41 - luong : 830
2025-04-08 23:56:41 - luong : 840
2025-04-08 23:56:42 - luong : 850
2025-04-08 23:56:42 - luong : 860
2025-04-08 23:56:42 - luong : 870
2025-04-08 23:56:43 - luong : 880
2025-04-08 23:56:43 - luong : 890
2025-04-08 23:56:43 - luong : 900
2025-04-08 23:56:43 - luong : 910
2025-04-08 23:56:43 - luong : 920
2025-04-08 23:56:44 - luong : 930
2025-04-08 23:56:44 - luong : 940
2025-04-08 23:56:44 - luong : 950
2025-04-08 23:56:44 - luong : 960
2025-04-08 23:56:45 - luong : 970
2025-04-08 23:56:45 - luong : 980
2025-04-08 23:56:45 - luong : 990
2025-04-08 23:56:45 - luong : 1000
2025-04-08 23:56:46 - luong : 1010
2025-04-08 23:56:46 - luong : 1020
2025-04-08 23:56:46 - luong : 1030
2025-04-08 23:56:46 - luong : 1040
2025-04-08 23:56:46 - luong : 1050
2025-04-08 23:56:47 - luong : 1060
2025-04-08 23:56:47 - luong : 1070
2025-04-08 23:56:47 - luong : 1080
2025-04-08 23:56:48 - luong : 1090
2025-04-08 23:56:48 - luong : 1100
2025-04-08 23:56:48 - luong : 1110
2025-04-08 23:56:49 - luong : 1120
2025-04-08 23:56:49 - luong : 1130
2025-04-08 23:56:49 - luong : 1140
2025-04-08 23:56:49 - luong : 1150
2025-04-08 23:56:50 - luong : 1160
2025-04-08 23:56:50 - luong : 1170
2025-04-08 23:56:50 - luong : 1180
2025-04-08 23:56:50 - luong : 1190
2025-04-08 23:56:50 - luong : 1200
2025-04-08 23:56:51 - luong : 1210
2025-04-08 23:56:51 - luong : 1220
2025-04-08 23:56:51 - luong : 1230
2025-04-08 23:56:51 - luong : 1240
2025-04-08 23:56:51 - luong : 1250
2025-04-08 23:56:52 - luong : 1260
2025-04-08 23:56:52 - luong : 1270
2025-04-08 23:56:53 - luong : 1280
2025-04-08 23:56:53 - luong : 1290
2025-04-08 23:56:53 - luong : 1300
2025-04-08 23:56:53 - luong : 1310
2025-04-08 23:56:53 - luong : 1320
2025-04-08 23:56:54 - luong : 1330
2025-04-08 23:56:54 - luong : 1340
2025-04-08 23:56:54 - luong : 1350
2025-04-08 23:56:58 - luong : 1360
2025-04-08 23:56:58 - luong : 1370
2025-04-08 23:56:59 - luong : 1380
2025-04-08 23:56:59 - luong : 1390
2025-04-08 23:57:00 - luong : 1400
2025-04-08 23:57:00 - luong : 1410
2025-04-08 23:57:00 - luong : 1420
2025-04-08 23:57:07 - luong : 1430
2025-04-08 23:57:07 - luong : 1440
2025-04-08 23:57:08 - luong : 1450
2025-04-08 23:57:08 - luong : 1460
2025-04-08 23:57:08 - luong : 1470
2025-04-08 23:57:08 - luong : 1480
2025-04-08 23:57:09 - luong : 1490
2025-04-08 23:57:09 - luong : 1500
2025-04-08 23:57:09 - luong : 1510
2025-04-08 23:57:09 - luong : 1520
2025-04-08 23:57:09 - luong : 1530
2025-04-08 23:57:10 - luong : 1540
2025-04-08 23:57:10 - luong : 1550
2025-04-08 23:57:10 - luong : 1560
2025-04-08 23:57:10 - luong : 1570
2025-04-08 23:57:10 - luong : 1580
2025-04-08 23:57:11 - luong : 1590
2025-04-08 23:57:11 - luong : 1600
2025-04-08 23:57:11 - luong : 1610
2025-04-08 23:57:11 - luong : 1620
2025-04-08 23:57:12 - luong : 1630
2025-04-08 23:57:12 - luong : 1640
2025-04-08 23:57:12 - luong : 1650
2025-04-08 23:57:12 - luong : 1660
2025-04-08 23:57:13 - luong : 1670
2025-04-08 23:57:13 - luong : 1680
2025-04-08 23:57:14 - luong : 1690
2025-04-08 23:57:14 - luong : 1700
2025-04-08 23:57:14 - luong : 1710
2025-04-08 23:57:14 - luong : 1720
2025-04-08 23:57:14 - luong : 1730
2025-04-08 23:57:14 - luong : 1740
2025-04-08 23:57:15 - luong : 1750
2025-04-08 23:57:15 - luong : 1760
2025-04-08 23:57:15 - luong : 1770
2025-04-08 23:57:15 - luong : 1780
2025-04-08 23:57:15 - luong : 1790
2025-04-08 23:57:16 - luong : 1800
